Date,Carrier,Type,Departure Airport,Departure City,Destination Airport,Destination City,dep_lat,dep_lon,dest_lat,dest_lon,Full Route,pair_key,tilt
2025-12-31,GlobalX,A321,Alexandria Intl (KAEX),"Alexandria, LA",So California Logistics (KVCV),"Victorville, CA",31.3274006,-92.5451921,34.5839839,-117.3787064,"Alexandria, LA → Victorville, CA → Alexandria, LA",Alexandria Intl (KAEX)|So California Logistics (KVCV),-90
2025-12-31,GlobalX,A321,So California Logistics (KVCV),"Victorville, CA",Alexandria Intl (KAEX),"Alexandria, LA",34.5839839,-117.3787064,31.3274006,-92.5451921,"Alexandria, LA → Victorville, CA → Alexandria, LA",Alexandria Intl (KAEX)|So California Logistics (KVCV),90
2025-12-31,GlobalX,A320,Opa-locka Executive (KOPF),"Miami, FL",Alexandria Intl (KAEX),"Alexandria, LA",25.9092857,-80.2683641,31.3274006,-92.5451921,"Miami, FL → Alexandria, LA → Harlingen, TX → Miami, FL",Alexandria Intl (KAEX)|Opa-locka Executive (KOPF),-90
2025-12-31,GlobalX,A320,Alexandria Intl (KAEX),"Alexandria, LA",Valley Intl (KHRL),"Harlingen, TX",31.3274006,-92.5451921,26.2234764,-97.6623631,"Miami, FL → Alexandria, LA → Harlingen, TX → Miami, FL",Alexandria Intl (KAEX)|Valley Intl (KHRL),-90
2025-12-31,GlobalX,A320,Valley Intl (KHRL),"Harlingen, TX",Opa-locka Executive (KOPF),"Miami, FL",26.2234764,-97.6623631,25.9092857,-80.2683641,"Miami, FL → Alexandria, LA → Harlingen, TX → Miami, FL",Opa-locka Executive (KOPF)|Valley Intl (KHRL),90
2025-12-31,GlobalX,A321,Valley Intl (KHRL),"Harlingen, TX",Jacksonville Intl (KJAX),"Jacksonville, FL",26.2234764,-97.6623631,30.4943308,-81.6871496999999,"Harlingen, TX → Jacksonville, FL → El Paso, TX → Harlingen, TX",Jacksonville Intl (KJAX)|Valley Intl (KHRL),90
2025-12-31,GlobalX,A321,Jacksonville Intl (KJAX),"Jacksonville, FL",El Paso Intl (KELP),"El Paso, TX",30.4943308,-81.6871496999999,31.8058228,-106.3705379,"Harlingen, TX → Jacksonville, FL → El Paso, TX → Harlingen, TX",El Paso Intl (KELP)|Jacksonville Intl (KJAX),-90
2025-12-31,GlobalX,A321,El Paso Intl (KELP),"El Paso, TX",Valley Intl (KHRL),"Harlingen, TX",31.8058228,-106.3705379,26.2234764,-97.6623631,"Harlingen, TX → Jacksonville, FL → El Paso, TX → Harlingen, TX",El Paso Intl (KELP)|Valley Intl (KHRL),90
2025-12-31,Eastern Air Express,B738,El Paso Intl (KELP),"El Paso, TX",Lawson AAF (Fort Benning) (KLSF),"Columbus, GA",31.8058228,-106.3705379,32.337925,-84.992149,"El Paso, TX → Columbus, GA → Phoenix, AZ → El Paso, TX",El Paso Intl (KELP)|Lawson AAF (Fort Benning) (KLSF),90
2025-12-31,Eastern Air Express,B738,Lawson AAF (Fort Benning) (KLSF),"Columbus, GA",Phoenix-Mesa Gateway (KIWA),"Phoenix, AZ",32.337925,-84.992149,33.3089787,-111.6559353,"El Paso, TX → Columbus, GA → Phoenix, AZ → El Paso, TX",Lawson AAF (Fort Benning) (KLSF)|Phoenix-Mesa Gateway (KIWA),-90
